Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Custom field (Category),Custom field (Development),Custom field (Issue color),Custom field (Rank),Custom field (Start date),Custom field (Team),Custom field (Vulnerability),Parent,Parent key,Parent summary,Status Category,Status Category Changed
"Final polish, tooltips, drill-through, README",HAPB-24,10106,Task,To Do,HAPB,Healthcare AWS Power BI,software,Cohens Pierre,712020:68bf01ef-1698-4c9a-8506-4813360a526a,,Medium,,,,Cohens Pierre,712020:68bf01ef-1698-4c9a-8506-4813360a526a,Cohens Pierre,712020:68bf01ef-1698-4c9a-8506-4813360a526a,12/28/2025 18:58,12/28/2025 18:58,,,,0,,,Cohens Pierre,712020:68bf01ef-1698-4c9a-8506-4813360a526a,,,,,,,,,,,,,0|i00073:,,,,10090,HAPB-16,Power BI Dashboard,To Do,12/28/2025 18:58
"Page 4 Delivery Tracker, Jira export",HAPB-23,10104,Task,To Do,HAPB,Healthcare AWS Power BI,software,Cohens Pierre,712020:68bf01ef-1698-4c9a-8506-4813360a526a,,Medium,,,,Cohens Pierre,712020:68bf01ef-1698-4c9a-8506-4813360a526a,Cohens Pierre,712020:68bf01ef-1698-4c9a-8506-4813360a526a,12/28/2025 18:58,12/28/2025 18:58,,,,0,,,Cohens Pierre,712020:68bf01ef-1698-4c9a-8506-4813360a526a,,,,,,,,,,,,,0|i0006v:,,,,10090,HAPB-16,Power BI Dashboard,To Do,12/28/2025 18:58
Page 3 Clinical and Experience,HAPB-22,10102,Task,To Do,HAPB,Healthcare AWS Power BI,software,Cohens Pierre,712020:68bf01ef-1698-4c9a-8506-4813360a526a,,Medium,,,,Cohens Pierre,712020:68bf01ef-1698-4c9a-8506-4813360a526a,Cohens Pierre,712020:68bf01ef-1698-4c9a-8506-4813360a526a,12/28/2025 18:57,12/28/2025 18:57,,,,0,,,Cohens Pierre,712020:68bf01ef-1698-4c9a-8506-4813360a526a,,,,,,,,,,,,,0|i0006n:,,,,10090,HAPB-16,Power BI Dashboard,To Do,12/28/2025 18:57
Page 2 Utilization and Quality,HAPB-21,10100,Task,To Do,HAPB,Healthcare AWS Power BI,software,Cohens Pierre,712020:68bf01ef-1698-4c9a-8506-4813360a526a,,Medium,,,,Cohens Pierre,712020:68bf01ef-1698-4c9a-8506-4813360a526a,Cohens Pierre,712020:68bf01ef-1698-4c9a-8506-4813360a526a,12/28/2025 18:57,12/28/2025 18:57,,,,0,,,Cohens Pierre,712020:68bf01ef-1698-4c9a-8506-4813360a526a,,,,,,,,,,,,,0|i0006f:,,,,10090,HAPB-16,Power BI Dashboard,To Do,12/28/2025 18:57
Page 1 Revenue Cycle,HAPB-20,10098,Task,To Do,HAPB,Healthcare AWS Power BI,software,Cohens Pierre,712020:68bf01ef-1698-4c9a-8506-4813360a526a,,Medium,,,,Cohens Pierre,712020:68bf01ef-1698-4c9a-8506-4813360a526a,Cohens Pierre,712020:68bf01ef-1698-4c9a-8506-4813360a526a,12/28/2025 18:57,12/28/2025 18:57,,,,0,,,Cohens Pierre,712020:68bf01ef-1698-4c9a-8506-4813360a526a,,,,,,,,,,,,,0|i00067:,,,,10090,HAPB-16,Power BI Dashboard,To Do,12/28/2025 18:57
Build measures pack,HAPB-19,10096,Task,To Do,HAPB,Healthcare AWS Power BI,software,Cohens Pierre,712020:68bf01ef-1698-4c9a-8506-4813360a526a,,Medium,,,,Cohens Pierre,712020:68bf01ef-1698-4c9a-8506-4813360a526a,Cohens Pierre,712020:68bf01ef-1698-4c9a-8506-4813360a526a,12/28/2025 18:57,12/28/2025 18:57,,,,0,,,Cohens Pierre,712020:68bf01ef-1698-4c9a-8506-4813360a526a,,,,,,,,,,,,,0|i0005z:,,,,10090,HAPB-16,Power BI Dashboard,To Do,12/28/2025 18:57
Build star schema relationships,HAPB-18,10094,Task,In Progress,HAPB,Healthcare AWS Power BI,software,Cohens Pierre,712020:68bf01ef-1698-4c9a-8506-4813360a526a,,Medium,,,,Cohens Pierre,712020:68bf01ef-1698-4c9a-8506-4813360a526a,Cohens Pierre,712020:68bf01ef-1698-4c9a-8506-4813360a526a,12/28/2025 18:57,12/31/2025 21:33,,,,0,,,Cohens Pierre,712020:68bf01ef-1698-4c9a-8506-4813360a526a,,,,,,,,,,,,,0|i00059:,,,,10090,HAPB-16,Power BI Dashboard,In Progress,12/31/2025 21:33
Connect Power BI to Athena curated tables,HAPB-17,10092,Task,In Progress,HAPB,Healthcare AWS Power BI,software,Cohens Pierre,712020:68bf01ef-1698-4c9a-8506-4813360a526a,,Medium,,,,Cohens Pierre,712020:68bf01ef-1698-4c9a-8506-4813360a526a,Cohens Pierre,712020:68bf01ef-1698-4c9a-8506-4813360a526a,12/28/2025 18:57,12/31/2025 21:33,,,,0,,,Cohens Pierre,712020:68bf01ef-1698-4c9a-8506-4813360a526a,,,,,,,,,,,,,0|i00057:,,,,10090,HAPB-16,Power BI Dashboard,In Progress,12/31/2025 21:33
Power BI Dashboard,HAPB-16,10090,Epic,To Do,HAPB,Healthcare AWS Power BI,software,Cohens Pierre,712020:68bf01ef-1698-4c9a-8506-4813360a526a,,Medium,,,,Cohens Pierre,712020:68bf01ef-1698-4c9a-8506-4813360a526a,Cohens Pierre,712020:68bf01ef-1698-4c9a-8506-4813360a526a,12/28/2025 18:56,12/28/2025 18:56,12/28/2025 18:56,,,0,,,Cohens Pierre,712020:68bf01ef-1698-4c9a-8506-4813360a526a,,,,,,,,,,,,dark_green,0|i0005b:,,,,,,,To Do,12/28/2025 18:56
"Data quality checks, nulls, duplicates, date parsing",HAPB-15,10089,Task,In Progress,HAPB,Healthcare AWS Power BI,software,Cohens Pierre,712020:68bf01ef-1698-4c9a-8506-4813360a526a,,Medium,,,,Cohens Pierre,712020:68bf01ef-1698-4c9a-8506-4813360a526a,Cohens Pierre,712020:68bf01ef-1698-4c9a-8506-4813360a526a,12/28/2025 18:55,12/31/2025 21:33,,,,0,,,Cohens Pierre,712020:68bf01ef-1698-4c9a-8506-4813360a526a,,,,,,,,,,,,,0|i00053:,,,,10075,HAPB-8,ETL and Data Quality,In Progress,12/31/2025 21:33
